time_5,language,tone,participant,script,sensor,sound_intensity_max,sound_intensity_min,sound_intensity_mean,sound_intensity_median,sound_intensity_std,sound_intensity_missing
180,en,bus,subject1,t3,sound_intensity,47.27590051420148,20.89905111439398,35.501748123889435,36.77671538323616,8.036855536566394,0.0
185,en,bus,subject1,t3,sound_intensity,50.19847118523454,17.853298350107668,35.686796803920046,36.67359546183087,9.295970152237652,0.0
190,en,bus,subject1,t3,sound_intensity,48.35671550879625,18.750612633917,34.03806053874312,34.81729196960016,8.906615870978552,0.0
195,en,bus,subject1,t3,sound_intensity,49.255595997597126,17.708520116421443,34.6316078438621,37.48813714984858,9.5674383637589,0.0
200,en,bus,subject1,t3,sound_intensity,50.879516959853774,17.92391689498254,36.25864222940889,39.29816384506772,9.314808363458294,0.0
205,en,bus,subject1,t3,sound_intensity,48.18404063004367,19.084850188786497,33.700226830384295,33.590762260592626,9.052128260187013,0.0
210,en,bus,subject1,t3,sound_intensity,50.18925075667837,19.86771734266245,36.151432530166495,36.71450554212495,9.021813216949187,0.0
215,en,bus,subject1,t3,sound_intensity,50.49504872486128,14.62397997898956,35.01856481088693,36.82415861677359,9.769182847677756,0.0
220,en,bus,subject1,t3,sound_intensity,48.33924447059533,18.920946026904804,35.96011665135322,38.44290743254343,8.900081380216568,0.0
225,en,bus,subject1,t3,sound_intensity,49.49663184653949,17.634279935629372,35.947277535585435,36.656747809938935,8.546926423681988,0.0
230,en,bus,subject1,t3,sound_intensity,48.50750355369331,15.440680443502757,35.31571972756353,37.10117365111816,8.77839055755016,0.0
235,en,bus,subject1,t3,sound_intensity,49.40247457793744,19.242792860618817,37.04225851408548,38.59858520480993,9.016935460624044,0.0
240,en,bus,subject1,t3,sound_intensity,48.43730965112093,15.910646070264994,29.701082352592604,25.45307116465824,10.03279615609787,0.0
245,en,bus,subject1,t3,sound_intensity,23.80211241711606,18.129133566428557,20.692253381411643,20.89905111439398,1.7322588736658915,0.0
0,en,bus,subject1,t2,sound_intensity,50.94132085918747,17.075701760979364,30.771465455407014,28.429487597008553,10.032634116178219,0.0
5,en,bus,subject1,t2,sound_intensity,48.63435880962986,16.232492903979004,34.10508488266686,34.51018452155458,8.446603847020976,0.0
10,en,bus,subject1,t2,sound_intensity,49.16953757512456,14.62397997898956,31.398474346592895,31.319392952104245,9.492492538519569,0.0
15,en,bus,subject1,t2,sound_intensity,47.757196449600194,20.492180226701816,33.8512241137535,34.992745818922174,8.357529702022864,0.0
20,en,bus,subject1,t2,sound_intensity,48.280215172886926,19.49390006644913,32.79128906899815,32.121876044039574,8.847375226408134,0.0
25,en,bus,subject1,t2,sound_intensity,51.05843867208255,20.37426497940624,32.73633185068667,30.004332106232006,8.522713157895993,0.0
30,en,bus,subject1,t2,sound_intensity,47.54111244087893,17.993405494535818,33.394618020939625,35.165353738958,8.665891298863436,0.0
35,en,bus,subject1,t2,sound_intensity,47.91248411779453,18.325089127062363,38.25689806788,38.8280904139244,7.418743437123312,0.0
40,en,bus,subject1,t2,sound_intensity,48.75032309461098,16.532125137753436,35.68106345927917,37.40125736965731,8.474928898992314,0.0
45,en,bus,subject1,t2,sound_intensity,48.29831040000453,15.05149978319906,34.181641222047276,35.24136376592568,10.351485952430032,0.0
50,en,bus,subject1,t2,sound_intensity,48.37670491940925,16.62757831681574,35.20824700802633,37.14245911017894,9.702269630008855,0.0
55,en,bus,subject1,t2,sound_intensity,49.29158270820861,17.634279935629372,34.511300322555435,35.71475903681944,10.313607206919984,0.0
