time_5,language,tone,participant,script,sensor,pitch_max,pitch_min,pitch_mean,pitch_median,pitch_std,pitch_missing
95,ch,bus,subject1,t4,pitch,254.140625,0.0,68.59651976431849,0.0,78.03740065899109,14.666666666666666
100,ch,bus,subject1,t4,pitch,401.953125,0.0,88.90710603190658,104.9755859375,81.91529754068864,25.333333333333336
105,ch,bus,subject1,t4,pitch,3491.25,0.0,253.2763866885533,142.77306547619045,641.7287828480652,26.666666666666668
110,ch,bus,subject1,t4,pitch,444.6875,0.0,124.24177963253845,120.033203125,113.17365900008954,28.000000000000004
115,ch,bus,subject1,t4,pitch,583.5825892857142,0.0,119.34770437121162,104.74268353174602,131.97247537861617,25.333333333333336
120,ch,bus,subject1,t4,pitch,586.1160714285714,0.0,162.90566248200668,132.7734375,135.87891252489607,32.0
125,ch,bus,subject1,t4,pitch,374.453125,0.0,74.88295231386613,63.36495535714286,89.99305312185902,18.666666666666668
130,ch,bus,subject1,t4,pitch,715.5794270833333,0.0,131.60827781159813,120.46875,148.63029186517912,26.666666666666668
135,ch,bus,subject1,t4,pitch,562.7529761904761,0.0,126.17675228915802,111.48546006944446,114.27989754128824,22.666666666666664
140,ch,bus,subject1,t4,pitch,1690.0,0.0,162.05808339569992,117.53472222222224,313.73170436161223,24.0
145,ch,bus,subject1,t4,pitch,715.703125,0.0,136.56428662773706,131.296875,115.1323094279519,25.333333333333336
150,ch,bus,subject1,t4,pitch,361.796875,0.0,91.59590353068312,103.4375,88.70610172414123,25.333333333333336
155,ch,bus,subject1,t4,pitch,3576.71875,0.0,126.71232369901087,0.0,611.6309320687573,15.0
0,ch,casual,subject1,t3,pitch,398.92578125,0.0,82.70657248239428,111.1029295682616,87.19071791894693,14.473684210526317
5,ch,casual,subject1,t3,pitch,479.453125,0.0,120.28374515969021,127.66927083333331,101.3852447166546,17.333333333333336
10,ch,casual,subject1,t3,pitch,249.609375,0.0,105.5675904593897,130.61965215773807,76.30796503248797,14.666666666666666
15,ch,casual,subject1,t3,pitch,231.23697916666669,0.0,68.23979236902801,78.99609375,65.31272032858068,21.333333333333336
20,ch,casual,subject1,t3,pitch,588.3515625,0.0,129.6071346518891,126.78819444444444,87.94554012076696,16.0
25,ch,casual,subject1,t3,pitch,229.71991921768708,0.0,119.5674215228006,155.50130208333331,84.149696684748,16.0
30,ch,casual,subject1,t3,pitch,845.078125,0.0,124.6372175982322,96.02367665816328,196.4231317789024,17.333333333333336
35,ch,casual,subject1,t3,pitch,368.5546875,0.0,115.92266102665762,125.57552083333334,74.51946156480813,21.333333333333336
40,ch,casual,subject1,t3,pitch,263.671875,0.0,93.08366148997668,116.28720832762454,78.57220786935041,14.666666666666666
45,ch,casual,subject1,t3,pitch,553.84765625,0.0,120.22191628041972,125.03645833333333,117.98686988170293,17.333333333333336
50,ch,casual,subject1,t3,pitch,606.953125,0.0,116.43407644504343,124.54427083333331,130.55964577567198,29.333333333333332
55,ch,casual,subject1,t3,pitch,543.125,0.0,137.73927508630666,120.03515625,118.92040815851387,22.666666666666664
60,ch,casual,subject1,t3,pitch,318.46875,0.0,86.13958493902491,102.23307291666667,75.93537549529826,17.333333333333336
65,ch,casual,subject1,t3,pitch,713.6328125,0.0,127.82705155670084,120.9265873015873,133.474260754903,18.666666666666668
70,ch,casual,subject1,t3,pitch,328.34765625,0.0,91.72793343508566,114.47265625,77.45040636678097,18.666666666666668
75,ch,casual,subject1,t3,pitch,343.4375,0.0,111.00805255292278,124.92472330729169,76.19918941138795,18.666666666666668
80,ch,casual,subject1,t3,pitch,495.078125,0.0,112.60286568551426,118.75846354166667,115.85708544896202,25.333333333333336
85,ch,casual,subject1,t3,pitch,388.92578125,0.0,92.60592968836706,108.57995411706348,98.18039587689476,22.666666666666664
